#Lam(nm)     %(0-100)
190 0.11523 
192 0.05989 
194 0.07771 
196 0.0676 
198 0.03304 
200 0.02869 
202 0.03308 
204 0.0424 
206 0.02974 
208 0.01489 
210 0.01231 
212 0.01873 
214 0.00858 
216 0.01061 
218 0.00756 
220 0.00807 
222 0.00956 
224 0.00814 
226 0.00743 
228 0.00811 
230 0.0075 
232 0.00824 
234 0.00826 
236 0.01179 
238 0.00718 
240 0.00857 
242 0.00738 
244 0.00807 
246 0.00749 
248 0.00808 
250 0.00863 
252 0.00855 
254 0.00767 
256 0.00809 
258 0.0072 
260 0.0084 
262 0.00729 
264 0.01235 
266 0.00763 
268 0.00826 
270 0.01097 
272 0.00807 
274 0.00729 
276 0.00812 
278 0.00742 
280 0.01117 
282 0.00776 
284 0.008 
286 0.00742 
288 0.00854 
290 0.00728 
292 0.00814 
294 0.01536 
296 0.00854 
298 0.00744 
300 0.00825 
302 0.00726 
304 0.00864 
306 0.01013 
308 0.00831 
310 0.00729 
312 0.00856 
314 0.00746 
316 0.00812 
318 0.00711 
320 0.00819 
322 0.01069 
324 0.0082 
326 0.00711 
328 0.0217 
330 0.00703 
332 0.0086 
334 0.00735 
336 0.0084 
338 0.00837 
340 0.01301 
342 0.00751 
344 0.00863 
346 0.01037 
348 0.00838 
350 0.00718 
352 0.01711 
354 0.03568 
356 0.0536 
358 0.09015 
360 0.17784 
362 0.29557 
364 0.44291 
366 0.65137 
368 0.86168 
370 1.02468 
372 1.14694 
374 1.11104 
376 1.02109 
378 0.98214 
380 1.12424 
382 1.52646 
384 2.22066 
386 3.21335 
388 4.49622 
390 5.88601 
392 7.38235 
394 8.77234 
396 10.10383 
398 11.32641 
400 12.26073 
402 12.97837 
404 13.40427 
406 13.50163 
408 13.37745 
410 13.1053 
412 12.71791 
414 12.32378 
416 11.94648 
418 11.57219 
420 11.23249 
422 10.88554 
424 10.55783 
426 10.15758 
428 9.73514 
430 9.20265 
432 8.69501 
434 8.16788 
436 7.76437 
438 7.54466 
440 7.51503 
442 7.56271 
444 7.69295 
446 7.86818 
448 8.06805 
450 8.32872 
452 8.58542 
454 8.86996 
456 9.17972 
458 9.42285 
460 9.69861 
462 9.93033 
464 10.14509 
466 10.34232 
468 10.53856 
470 10.73853 
472 10.90238 
474 11.05396 
476 11.2175 
478 11.35869 
480 11.50449 
482 11.61863 
484 11.71373 
486 11.79094 
488 11.97422 
490 12.04003 
492 12.19971 
494 12.32032 
496 12.44387 
498 12.60802 
500 12.81345 
502 12.9324 
504 13.12142 
506 13.2237 
508 13.3751 
510 13.43822 
512 13.58443 
514 13.69705 
516 13.83198 
518 13.8563 
520 13.93099 
522 13.93931 
524 13.94421 
526 13.91729 
528 13.89384 
530 13.87043 
532 13.85971 
534 13.90751 
536 13.90214 
538 13.95843 
540 14.02676 
542 14.06525 
544 14.20481 
546 14.29693 
548 14.41445 
550 14.6236 
552 14.8035 
554 14.98193 
556 15.12738 
558 15.24959 
560 15.35119 
562 15.41821 
564 15.5035 
566 15.58871 
568 15.56955 
570 15.55424 
572 15.54495 
574 15.5313 
576 15.5084 
578 15.48118 
580 15.39602 
582 15.31617 
584 15.02251 
586 14.81859 
588 14.58512 
590 14.46112 
592 14.27234 
594 14.30246 
596 14.27234 
598 14.16991 
600 14.17141 
602 14.15101 
604 13.99624 
606 13.82858 
608 13.69176 
610 13.51302 
612 13.37792 
614 13.13065 
616 12.93603 
618 12.75999 
620 12.52942 
622 12.27323 
624 12.14283 
626 11.97969 
628 11.77769 
630 11.62598 
632 11.54985 
634 11.43477 
636 11.36628 
638 11.3117 
640 11.39387 
642 11.39267 
644 11.52755 
646 11.70632 
648 11.88202 
650 12.10067 
652 12.42159 
654 12.7282 
656 13.48315 
658 14.17141 
660 13.93295 
662 14.5309 
664 15.27801 
666 16.05451 
668 16.89004 
670 17.77155 
672 18.79062 
674 19.69091 
676 20.84712 
678 22.08518 
680 23.27706 
682 24.40945 
684 25.72947 
686 26.71892 
688 27.72887 
690 28.64686 
692 29.43761 
694 30.01622 
696 30.54603 
698 30.98924 
700 31.43446 
702 31.64723 
704 31.84913 
706 31.79323 
708 31.82675 
710 31.91522 
712 31.9197 
714 31.69062 
716 31.69953 
718 31.47203 
720 31.31981 
722 31.18475 
724 30.94681 
726 30.67186 
728 30.55247 
730 30.22788 
732 30.08273 
734 29.83013 
736 29.7276 
738 29.5101 
740 29.14329 
742 28.87321 
744 28.60964 
746 28.26991 
748 27.84602 
750 27.40152 
752 27.06472 
754 26.5048 
756 26.06522 
758 25.50805 
760 25.20603 
762 24.81675 
764 24.23682 
766 23.92211 
768 23.52867 
770 22.9627 
772 22.7947 
774 22.52481 
776 22.26516 
778 21.85208 
780 21.57667 
782 21.32045 
784 21.08134 
786 20.84565 
788 20.59305 
790 20.31637 
792 19.98433 
794 19.57846 
796 19.37386 
798 19.24158 
800 18.96039 
802 18.7234 
804 18.46534 
806 18.11704 
808 17.83723 
810 17.71482 
812 17.47251 
814 17.09001 
816 16.86928 
818 16.61809 
820 16.32469 
