#Lam(nm)     %(0-100)
190 0.38772 
192 0.29529 
194 0.16997 
196 0.14052 
198 0.1373 
200 0.08257 
202 0.07757 
204 0.06631 
206 0.06487 
208 0.05037 
210 0.02501 
212 0.02583 
214 0.03543 
216 0.00858 
218 0.01003 
220 0.02311 
222 0.00717 
224 0.00889 
226 0.01628 
228 0.01774 
230 0.00759 
232 0.01244 
234 0.00889 
236 0.00846 
238 0.0073 
240 0.00801 
242 0.01377 
244 0.00823 
246 0.00889 
248 0.00826 
250 0.0088 
252 0.00937 
254 0.0097 
256 0.0083 
258 0.00985 
260 0.00938 
262 0.01561 
264 0.00809 
266 0.01242 
268 0.01067 
270 0.01199 
272 0.01316 
274 0.00751 
276 0.00837 
278 0.00765 
280 0.00865 
282 0.0174 
284 0.00825 
286 0.01276 
288 0.01105 
290 0.00752 
292 0.00844 
294 0.00732 
296 0.01147 
298 0.01371 
300 0.01205 
302 0.0181 
304 0.00826 
306 0.01331 
308 0.00859 
310 0.00945 
312 0.00824 
314 0.00725 
316 0.00839 
318 0.00735 
320 0.01056 
322 0.00859 
324 0.00847 
326 0.00735 
328 0.00841 
330 0.00727 
332 0.00827 
334 0.0196 
336 0.00868 
338 0.00986 
340 0.00847 
342 0.02097 
344 0.00824 
346 0.02575 
348 0.00865 
350 0.00804 
352 0.01202 
354 0.00721 
356 0.00828 
358 0.00758 
360 0.01211 
362 0.01881 
364 0.0101 
366 0.00786 
368 0.01293 
370 0.00711 
372 0.00825 
374 0.02015 
376 0.00826 
378 0.01898 
380 0.00838 
382 0.02839 
384 0.00838 
386 0.02028 
388 0.03164 
390 0.02754 
392 0.03558 
394 0.0477 
396 0.09559 
398 0.22274 
400 0.57066 
402 1.31353 
404 2.58046 
406 4.25791 
408 6.33138 
410 8.37802 
412 10.33179 
414 11.77852 
416 12.91151 
418 13.66389 
420 14.0455 
422 14.24929 
424 14.34826 
426 14.22428 
428 14.10237 
430 13.96627 
432 13.79655 
434 13.60306 
436 13.50258 
438 13.38732 
440 13.25115 
442 13.14911 
444 13.05199 
446 12.95878 
448 12.91151 
450 12.86171 
452 12.80265 
454 12.77075 
456 12.72954 
458 12.64529 
460 12.56469 
462 12.46619 
464 12.30691 
466 12.13388 
468 11.91965 
470 11.81001 
472 11.63416 
474 11.50045 
476 11.40268 
478 11.36788 
480 11.36548 
482 11.24118 
484 11.14013 
486 11.19192 
488 11.33876 
490 11.59091 
492 11.74216 
494 11.80918 
496 11.7897 
498 11.76818 
500 11.7335 
502 11.71002 
504 11.64847 
506 11.56406 
508 11.55919 
510 11.49641 
512 11.5531 
514 11.61496 
516 11.70632 
518 11.81956 
520 12.02734 
522 12.17958 
524 12.38934 
526 12.59032 
528 12.73714 
530 12.8807 
532 12.99982 
534 13.06392 
536 13.08046 
538 13.03733 
540 12.94013 
542 12.86442 
544 12.72909 
546 12.5828 
548 12.41897 
550 12.31859 
552 12.18729 
554 12.06671 
556 12.00708 
558 11.94564 
560 11.91337 
562 11.91211 
564 11.92593 
566 11.91379 
568 11.85241 
570 11.78349 
572 11.68167 
574 11.58114 
576 11.4577 
578 11.37787 
580 11.27321 
582 11.10184 
584 10.83746 
586 10.57045 
588 10.40135 
590 10.2134 
592 10.05779 
594 9.86426 
596 9.71396 
598 9.58715 
600 9.50364 
602 9.43378 
604 9.47231 
606 9.4497 
608 9.50064 
610 9.59962 
612 9.74781 
614 9.92579 
616 9.97614 
618 10.14403 
620 10.2562 
622 10.39149 
624 10.51785 
626 10.60505 
628 10.65996 
630 10.70011 
632 10.73099 
634 10.70651 
636 10.77443 
638 10.69222 
640 10.71102 
642 10.76913 
644 10.76686 
646 10.89472 
648 11.00282 
650 11.12722 
652 11.41952 
654 11.63702 
656 12.45305 
658 12.31123 
660 12.70095 
662 13.55725 
664 14.50285 
666 15.33825 
668 16.58251 
670 17.91134 
672 19.41475 
674 20.54463 
676 22.62554 
678 24.69324 
680 26.67202 
682 28.76486 
684 31.743 
686 34.00478 
688 36.3625 
690 39.51029 
692 42.49239 
694 45.06181 
696 48.47143 
698 51.69216 
700 54.07945 
702 57.61812 
704 60.2812 
706 63.76027 
708 66.2867 
710 68.32017 
712 71.06971 
714 73.76645 
716 75.28245 
718 77.55917 
720 79.32294 
722 80.99296 
724 82.52689 
726 84.34137 
728 84.79598 
730 86.19575 
732 86.87069 
734 87.7326 
736 88.22718 
738 88.68092 
740 89.45387 
742 89.55764 
744 90.10366 
746 90.66575 
748 90.9465 
750 91.21852 
752 91.21852 
754 91.51063 
756 91.52993 
758 91.85853 
760 91.59427 
762 91.62645 
764 91.85853 
766 91.76499 
768 91.7263 
770 92.18832 
772 91.7392 
774 91.77788 
776 91.53957 
778 92.00065 
780 92.17537 
782 91.90373 
784 91.83594 
786 91.7392 
788 91.9651 
790 91.65865 
792 91.39496 
794 91.69408 
796 91.56209 
798 91.23775 
800 91.39817 
802 91.28585 
804 91.34039 
806 91.49134 
808 91.23134 
810 90.92094 
812 91.16085 
814 91.2089 
816 91.10001 
818 90.90817 
820 90.87943 
