#Lam(nm)     %(0-100)
190 0.13219 
192 0.06127 
194 0.06722 
196 0.04573 
198 0.0391 
200 0.05345 
202 0.02514 
204 0.03934 
206 0.01806 
208 0.04906 
210 0.01246 
212 0.01203 
214 0.01226 
216 0.00857 
218 0.01177 
220 0.01224 
222 0.00716 
224 0.01503 
226 0.00749 
228 0.01911 
230 0.00756 
232 0.01103 
234 0.01533 
236 0.01405 
238 0.00726 
240 0.00867 
242 0.00747 
244 0.00817 
246 0.00759 
248 0.0082 
250 0.0075 
252 0.00868 
254 0.0072 
256 0.00823 
258 0.00978 
260 0.00856 
262 0.00743 
264 0.00867 
266 0.00778 
268 0.00843 
270 0.00749 
272 0.00824 
274 0.00744 
276 0.00829 
278 0.00759 
280 0.00857 
282 0.00859 
284 0.00818 
286 0.00952 
288 0.00873 
290 0.01057 
292 0.00833 
294 0.00785 
296 0.00803 
298 0.00761 
300 0.00844 
302 0.00743 
304 0.00818 
306 0.00719 
308 0.01561 
310 0.00746 
312 0.00815 
314 0.00718 
316 0.0083 
318 0.00728 
320 0.01329 
322 0.0073 
324 0.01186 
326 0.00727 
328 0.00832 
330 0.0096 
332 0.00818 
334 0.01057 
336 0.01718 
338 0.00732 
340 0.00838 
342 0.01184 
344 0.00815 
346 0.00747 
348 0.01642 
350 0.00733 
352 0.01957 
354 0.00714 
356 0.01432 
358 0.00815 
360 0.01016 
362 0.00753 
364 0.02504 
366 0.00781 
368 0.00811 
370 0.00706 
372 0.00819 
374 0.00728 
376 0.00819 
378 0.01762 
380 0.00833 
382 0.01162 
384 0.01384 
386 0.01542 
388 0.00857 
390 0.01371 
392 0.01294 
394 0.02004 
396 0.02711 
398 0.03141 
400 0.08126 
402 0.21155 
404 0.4833 
406 0.92692 
408 1.64583 
410 2.49988 
412 3.46939 
414 4.36914 
416 5.26564 
418 6.01268 
420 6.66534 
422 7.26629 
424 7.72301 
426 8.07883 
428 8.43621 
430 8.75602 
432 9.04462 
434 9.1823 
436 9.43709 
438 9.64391 
440 9.8653 
442 10.06804 
444 10.25403 
446 10.39806 
448 10.49459 
450 10.66783 
452 10.77443 
454 10.87789 
456 11.04348 
458 11.15423 
460 11.32562 
462 11.42835 
464 11.49358 
466 11.71085 
468 11.76239 
470 11.83993 
472 11.86074 
474 11.978 
476 12.11471 
478 12.14411 
480 12.20271 
482 12.25039 
484 12.23362 
486 12.42901 
488 12.56733 
490 12.44387 
492 12.47407 
494 12.48065 
496 12.49337 
498 12.54175 
500 12.57528 
502 12.53338 
504 12.58324 
506 12.52238 
508 12.48767 
510 12.41548 
512 12.47846 
514 12.43819 
516 12.39718 
518 12.39892 
520 12.35804 
522 12.19971 
524 12.13047 
526 12.0113 
528 11.84742 
530 11.7199 
532 11.49883 
534 11.42634 
536 11.25659 
538 10.97579 
540 10.9181 
542 10.80628 
544 10.76951 
546 10.76006 
548 10.74495 
550 10.85956 
552 10.81008 
554 10.93268 
556 10.95499 
558 10.92424 
560 10.80438 
562 10.76649 
564 10.59909 
566 10.3831 
568 10.04896 
570 9.77902 
572 9.6351 
574 9.32929 
576 9.24803 
578 9.10808 
580 9.03033 
582 8.98855 
584 8.61867 
586 8.55741 
588 8.46055 
590 8.61503 
592 8.75571 
594 9.21462 
596 9.53106 
598 9.81965 
600 10.28904 
602 10.64911 
604 10.75174 
606 11.021 
608 11.21711 
610 11.12019 
612 11.21593 
614 11.11316 
616 10.93845 
618 10.62594 
620 10.39003 
622 10.07476 
624 9.93661 
626 9.7574 
628 9.50965 
630 9.35719 
632 9.38881 
634 9.51533 
636 9.73754 
638 10.13619 
640 10.69034 
642 11.29859 
644 12.0858 
646 13.02451 
648 13.98395 
650 15.15505 
652 16.12064 
654 17.55065 
656 21.29649 
658 22.83157 
660 19.98644 
662 20.7886 
664 21.76091 
666 22.68205 
668 23.1482 
670 23.78801 
672 24.26665 
674 25.02602 
676 25.37219 
678 25.68522 
680 26.15328 
682 26.52437 
684 26.48246 
686 27.01437 
688 27.35727 
690 27.43716 
692 27.65395 
694 27.81376 
696 28.02564 
698 28.22426 
700 28.61769 
702 28.59357 
704 28.95142 
706 28.80127 
708 29.07272 
710 29.52151 
712 29.7851 
714 29.43658 
716 29.74431 
718 29.6046 
720 29.9162 
722 30.07005 
724 30.23638 
726 30.12186 
728 30.61802 
730 30.60942 
732 30.73119 
734 30.74523 
736 31.28791 
738 31.46651 
740 31.02301 
742 31.30331 
744 31.47756 
746 31.54953 
748 31.5828 
750 31.63278 
752 32.20131 
754 32.11882 
756 32.20244 
758 32.09852 
760 32.4318 
762 32.81232 
764 32.53223 
766 33.03674 
768 32.88388 
770 32.64214 
772 33.0321 
774 33.20548 
776 33.36452 
778 33.03094 
780 32.98339 
782 33.24166 
784 33.19614 
786 33.21131 
788 33.22999 
790 33.5939 
792 33.73465 
794 33.3364 
796 33.66834 
798 33.9606 
800 34.25299 
802 34.14125 
804 34.19167 
806 34.04542 
808 34.10528 
810 34.65853 
812 34.79641 
814 34.58433 
816 34.77808 
818 34.58555 
820 34.92747 
