#Lam(nm)     %(0-100)
206.6 67.6861551412 
208.8 66.9754245725 
211.0 67.2319341569 
213.3 67.1955220064 
215.5 67.2105928937 
217.7 67.3203271284 
220.0 67.3866765407 
222.2 67.460244425 
224.5 67.3777033496 
226.7 67.070854669 
228.9 66.4809086769 
231.2 65.599321428 
233.4 64.8435663103 
235.7 64.4502794678 
237.9 64.5233440407 
240.1 64.9205626423 
242.4 65.5600823978 
244.6 66.2690895908 
246.9 67.0727058534 
249.1 67.8523222158 
251.3 68.6585294868 
253.6 69.4589277921 
255.8 70.2085096561 
258.0 70.9396695139 
260.3 71.6869839078 
262.5 72.3937760948 
264.8 73.1209646809 
267.0 73.7047885185 
269.2 74.1364835944 
271.5 74.333119752 
273.7 74.252478922 
276.0 73.92840445 
278.2 73.4717389324 
280.4 72.9396454257 
282.7 72.3538957503 
284.9 71.7520323068 
287.2 70.8828047756 
289.4 69.5499788217 
291.6 67.849323063 
293.9 66.122286448 
296.1 65.0182471057 
298.4 64.5475091448 
300.6 62.2041127307 
302.8 61.2911513269 
305.1 60.4709324385 
307.3 59.7872538658 
309.5 59.2117158397 
311.8 58.68324153 
314.0 58.2684580972 
316.3 57.8904386847 
318.5 57.5838110428 
320.7 57.323205001 
323.0 57.0902150875 
325.2 56.8984043119 
327.5 56.7210457085 
329.7 56.5767745531 
331.9 56.4695868838 
334.2 56.3767866871 
336.4 56.3204808883 
338.7 56.2849765201 
340.9 56.2915244282 
343.1 56.3332710088 
345.4 56.4307708408 
347.6 56.577030061 
349.9 56.8053211025 
352.1 57.1006697586 
354.3 57.5016728986 
356.6 57.9869960635 
358.8 58.4942078311 
361.0 58.8977470222 
363.3 59.1214755221 
365.5 59.074438263 
367.8 58.7269181455 
370.0 58.1795611761 
372.2 57.4680716694 
374.5 56.6026074268 
376.7 55.7150045861 
379.0 54.7794353947 
381.2 53.9314656399 
383.4 53.1257230934 
385.7 52.3279577665 
387.9 51.6428383895 
390.2 50.9535054316 
392.4 50.3526696244 
394.6 49.7901434374 
396.9 49.2385786802 
399.1 48.7562655638 
401.4 48.2700250584 
403.6 47.8352396863 
405.8 47.4255666686 
408.1 46.999061533 
410.3 46.6245659981 
412.5 46.2728641815 
414.8 45.922164455 
417.0 45.5998600495 
419.3 45.2742915538 
421.5 44.9761927748 
423.7 44.6944964684 
426.0 44.4058506088 
428.2 44.1391702348 
430.5 43.8759800725 
432.7 43.6277172054 
434.9 43.3954767144 
437.2 43.1613244748 
439.4 42.9350593211 
441.7 42.7100503625 
443.9 42.5053924966 
446.1 42.3097987323 
448.4 42.1037207338 
450.6 41.9124118654 
452.9 41.7175268304 
455.1 41.538361352 
457.3 41.3656252721 
459.6 41.1897332229 
461.8 41.0299478916 
464.0 40.8693759247 
466.3 40.7020748473 
468.5 40.5555580309 
470.8 40.4007394749 
473.0 40.2509541716 
475.2 40.1198697681 
477.5 39.9847542586 
479.7 39.8533020758 
482.0 39.7164335484 
484.2 39.585792039 
486.4 39.464163836 
488.7 39.3379725887 
490.9 39.2194216844 
493.2 39.0975337728 
495.4 38.9827423184 
497.6 38.8740896068 
499.9 38.7621338119 
502.1 38.6609203177 
504.4 38.5543396761 
506.6 38.4498505499 
508.8 38.347918774 
511.1 38.2475169078 
513.3 38.153131497 
515.5 38.0606443823 
517.8 37.9659154082 
520.0 37.8770326757 
522.3 37.7864835544 
524.5 37.7012624137 
526.7 37.6180054058 
529.0 37.5324142706 
531.2 37.448477877 
533.5 37.3591012496 
535.7 37.2807406565 
537.9 37.2073051508 
540.2 37.1300016685 
542.4 37.0555199622 
544.7 36.9782946446 
546.9 36.9054582047 
549.1 36.8335072724 
551.4 36.7619118254 
553.6 36.6935538723 
555.8 36.6276491185 
558.1 36.5586562771 
560.3 36.4961760341 
562.6 36.4316107761 
564.8 36.3678377156 
567.0 36.3023431177 
569.3 36.2364663474 
571.5 36.1807304088 
573.8 36.1223822395 
576.0 36.0639424094 
578.2 36.0051589764 
580.5 35.9457362751 
582.7 35.891037346 
585.0 35.8339335475 
587.2 35.7808546289 
589.4 35.7276977645 
591.7 35.6746968374 
593.9 35.6258895254 
596.2 35.5748412493 
598.4 35.5268089253 
600.6 35.4787159099 
602.9 35.4304404875 
605.1 35.3867803652 
607.3 35.3430680245 
609.6 35.2949340844 
611.8 35.2482013336 
614.1 35.1998622248 
616.3 35.1572762072 
618.5 35.1146433625 
620.8 35.0692040146 
623.0 35.0244692181 
625.3 34.9776429261 
627.5 34.9371546876 
629.7 34.8996463659 
632.0 34.8603983463 
634.2 34.8208535146 
636.5 34.7786941176 
638.7 34.7383234201 
640.9 34.6988969055 
643.2 34.657863765 
645.4 34.6185728263 
647.7 34.5807403149 
649.9 34.5451800282 
652.1 34.509586345 
654.4 34.4753954904 
656.6 34.4434747408 
658.8 34.4115267343 
661.1 34.3764715838 
663.3 34.3422292894 
665.6 34.3063975925 
667.8 34.2723522694 
670.0 34.2384934172 
672.3 34.2030634147 
674.5 34.1703893034 
676.8 34.1389943714 
679.0 34.1089404272 
681.2 34.0788629895 
683.5 34.0513069976 
685.7 34.0249302755 
688.0 33.9973349246 
690.2 33.9711389031 
692.4 33.9450496182 
694.7 33.9177552358 
696.9 33.8918036168 
699.2 33.8654749284 
701.4 33.8402742857 
703.6 33.8150573238 
705.9 33.7871135073 
708.1 33.7594039166 
710.3 33.7316745414 
712.6 33.702663572 
714.8 33.6834757861 
717.1 33.6634055027 
719.3 33.6441979587 
721.5 33.6235055109 
723.8 33.5985537777 
726.0 33.5746720316 
728.3 33.549689196 
730.5 33.5289163632 
732.7 33.510749131 
735.0 33.4917469006 
737.2 33.4735620356 
739.5 33.4513447341 
741.7 33.4284498966 
743.9 33.4055417419 
746.2 33.3815780612 
748.4 33.3606939945 
750.7 33.3398499168 
752.9 33.3199015337 
755.1 33.2999428103 
757.4 33.2808858302 
759.6 33.2637684861 
761.8 33.2466438621 
764.1 33.2287330599 
766.3 33.2118420113 
768.6 33.1944872379 
770.8 33.177879721 
773.0 33.1612650644 
775.3 33.1431012351 
777.5 33.1221448726 
779.8 33.1002241197 
782.0 33.0792451235 
784.2 33.0582550544 
786.5 33.0386691583 
788.7 33.0205556171 
791.0 33.0016096888 
793.2 32.9834788413 
795.4 32.964826618 
797.7 32.9438864919 
799.9 32.9238465218 
802.2 32.9028848874 
804.4 32.8828243351 
806.6 32.8661006467 
808.9 32.8502426835 
811.1 32.8350681577 
813.3 32.8198877248 
815.6 32.8040109536 
817.8 32.7871955487 
820.1 32.7695274837 
822.3 32.7526203634 
824.5 32.7357061694 
826.8 32.7183479172 
829.0 32.7050763478 
831.3 32.6911967392 
833.5 32.6779160122 
835.7 32.6646308061 
838.0 32.6507369363 
840.2 32.6374425638 
842.5 32.6235391078 
844.7 32.6102355631 
846.9 32.596927532 
849.2 32.583009792 
851.4 32.5696925798 
853.6 32.5563708771 
855.9 32.5424388394 
858.1 32.5291079469 
860.4 32.5151662987 
862.6 32.5018262105 
864.8 32.4884816246 
867.1 32.4745256561 
869.3 32.4611718658 
871.6 32.4472062715 
873.8 32.4338432711 
876.0 32.4204757658 
878.3 32.4064958284 
880.5 32.3931191043 
882.8 32.379129526 
885.0 32.3657435772 
887.2 32.3523531165 
889.5 32.3383491727 
891.7 32.3249494786 
894.0 32.3109358787 
896.2 32.2975269455 
898.4 32.2841134933 
900.7 32.2700855055 
902.9 32.2566628056 
905.1 32.2432355824 
907.4 32.2291931931 
909.6 32.2157567137 
911.9 32.2024719453 
914.1 32.1899152004 
916.3 32.1773545081 
918.6 32.1642186533 
920.8 32.1516498833 
923.1 32.1385055812 
925.3 32.1259287288 
927.5 32.1133479233 
929.8 32.1001910351 
932.0 32.0876021403 
934.3 32.0744367928 
936.5 32.0618398042 
938.7 32.0492388568 
941.0 32.0360609053 
943.2 32.0234518572 
945.5 32.0102654342 
947.7 31.9976482807 
949.9 31.985027163 
952.2 31.9718281181 
954.4 31.9591988881 
956.6 31.9465656905 
958.9 31.9333540132 
961.1 31.9207126965 
963.4 31.9074925287 
965.6 31.8948430884 
967.8 31.8821896749 
970.1 31.8689569886 
972.3 31.8562956151 
974.6 31.8430544441 
976.8 31.8303848803 
979.0 31.8177113106 
981.3 31.8044573851 
983.5 31.7917756179 
985.8 31.7785131287 
988.0 31.7658231693 
990.2 31.7534960269 
992.5 31.7444405778 
994.7 31.735776934 
997.0 31.7267174913 
999.2 31.7180500269 
1001.4 31.7093806921 
1003.7 31.7003152977 
1005.9 31.6916421394 
1008.1 31.6829671119 
1010.4 31.6738957659 
1012.6 31.6652169138 
1014.9 31.6561415685 
1017.1 31.6474588933 
1019.3 31.6387743495 
1021.6 31.6296930521 
1023.8 31.6210046787 
1026.1 31.6119193767 
1028.3 31.603227172 
1030.5 31.5945330937 
1032.8 31.5854418264 
1035.0 31.5767439204 
1037.3 31.5676486505 
1039.5 31.5589469086 
1041.7 31.5502432906 
